,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SkipThoughtCS,EmbeddingAverageCosineSimilarity,EmbeddingAverageCosineSimilairty,VectorExtremaCosineSimilarity,GreedyMatchingScore
1000,0.0,0.0,0.0,0.0,0.034548,0.0,0.0,0.3880150020122528,0.735119,0.735119,0.207557,0.8933479999999999
2000,0.0,0.0,0.0,0.0,0.032518,0.0,0.0,0.3855920135974884,0.721245,0.721245,0.20469400000000001,0.889849
3000,0.0,0.0,0.0,0.0,0.034442,0.0,0.0,0.3850339949131012,0.643357,0.643357,0.234042,0.874985
4000,1e-06,0.0,0.0,0.0,0.037917,0.000126,4.7e-05,0.3813759982585907,0.631217,0.631217,0.229823,0.8713360000000001
5000,1.6e-05,0.0,0.0,0.0,0.034856,0.002418,0.00106,0.3865489959716797,0.6524810000000001,0.6524810000000001,0.233338,0.8771690000000001
6000,1.3000000000000001e-05,0.0,0.0,0.0,0.032849,0.001928,0.000822,0.3822419941425324,0.635601,0.635601,0.235996,0.8727229999999999
7000,1.6e-05,0.0,0.0,0.0,0.032861,0.002542,0.001128,0.3886820077896118,0.6868569999999999,0.6868569999999999,0.230561,0.8845280000000001
8000,0.000105,0.0,0.0,0.0,0.034706,0.013108000000000002,0.005267,0.381632000207901,0.635135,0.635135,0.240693,0.8720190000000001
9000,1.8e-05,0.0,0.0,0.0,0.034682,0.003034,0.001352,0.3833540081977844,0.643269,0.643269,0.235292,0.874769
10000,0.000193,1e-06,0.0,0.0,0.034282,0.024369,0.009703,0.3782579898834229,0.6135550000000001,0.6135550000000001,0.235934,0.8677860000000001
15000,5e-05,0.0,0.0,0.0,0.037675,0.006804999999999999,0.002795,0.375780999660492,0.569728,0.569728,0.231382,0.857641
20000,0.000126,1e-06,0.0,0.0,0.034562,0.016715,0.006706999999999999,0.3728480041027069,0.543189,0.543189,0.23368699999999998,0.851651
23000,9.2e-05,0.0,0.0,0.0,0.036979000000000005,0.012041,0.004790999999999999,0.37429898977279663,0.566593,0.566593,0.22893400000000005,0.856952
25000,5.7999999999999994e-05,0.0,0.0,0.0,0.036088,0.007706999999999999,0.003215,0.3671500086784363,0.49608599999999997,0.49608599999999997,0.22019699999999998,0.839199
30000,9.8e-05,0.0,0.0,0.0,0.035534,0.013036,0.005475,0.35887399315834045,0.479966,0.479966,0.212233,0.8360719999999999
35000,6.8e-05,0.0,0.0,0.0,0.035908999999999996,0.009601,0.004211,0.35984599590301514,0.47585299999999997,0.47585299999999997,0.216072,0.8360569999999999
40000,0.000101,0.0,0.0,0.0,0.03662,0.014195,0.006479,0.3549720048904419,0.463759,0.463759,0.216481,0.8308040000000001
45000,6.6e-05,0.0,0.0,0.0,0.039847,0.008990999999999999,0.004303,0.36610400676727295,0.525134,0.525134,0.22901100000000002,0.847143
50000,9.9e-05,0.0,0.0,0.0,0.037704,0.01407,0.006633,0.3706560134887695,0.563883,0.563883,0.238137,0.8550979999999999
55000,9.2e-05,0.0,0.0,0.0,0.038462,0.012558,0.006094,0.3743000030517578,0.5648880000000001,0.5648880000000001,0.24623299999999998,0.854741
60000,6.6e-05,0.0,0.0,0.0,0.039394,0.008848,0.003892,0.3712159991264343,0.570733,0.570733,0.241669,0.85696
61000,0.00011399999999999999,0.0,0.0,0.0,0.03725,0.015390000000000001,0.006934999999999999,0.3686699867248535,0.550669,0.550669,0.24458000000000002,0.850476
62000,0.00014199999999999998,1e-06,0.0,0.0,0.039393,0.018912,0.00831,0.38144901394844055,0.607675,0.607675,0.249337,0.865701
63000,8.8e-05,0.0,0.0,0.0,0.038159,0.01227,0.005475,0.3729889988899231,0.566973,0.566973,0.242941,0.8559120000000001
64000,9.8e-05,0.0,0.0,0.0,0.042334,0.013494,0.006407,0.3713699877262116,0.560204,0.560204,0.24588,0.853915
65000,9.4e-05,0.0,0.0,0.0,0.039550999999999996,0.012372,0.005757,0.3779850006103516,0.609974,0.609974,0.240693,0.866159
70000,0.000106,0.0,0.0,0.0,0.040037,0.014216,0.006303,0.3718689978122711,0.552117,0.552117,0.243133,0.852672
